id,name,category,x,y,visitorReviewCount,visitorReviewScore,searchName
-2,-2,-2,-2.0,-2.0,-2,-2.0,커피마마 이문우리집점
1574491726,우리집젤라또,아이스크림,126.98568,37.49106,114,-1.0,우리집젤라또
1641911179,카페 낢진 고대점,"카페,디저트",127.03334,37.588547,56,4.29,카페낢진 고대점
-2,-2,-2,-2.0,-2.0,-2,-2.0,베러댄와플 목동동로점
36090587,빽다방 공덕새창로점,테이크아웃커피,126.951836,37.542225,428,4.35,빽다방공덕새창로점 공덕새창로점
-2,-2,-2,-2.0,-2.0,-2,-2.0,소담까페
33239308,스타벅스 구로디지털로점,카페,126.895836,37.48578,3935,4.44,스타벅스구로디지털로점 구로디지털로점
36257174,카페쎄리오강북삼성병원점,카페,126.96805,37.56837,4,-1.0,카페쎄리오 강북삼성병원점
1861614118,피닉스,베트남음식,126.99005,37.533497,48,-1.0,피닉스
1484014528,모나코플라워,"꽃집,꽃배달",127.05292,37.4891,130,4.4,모나코플라워
-2,-2,-2,-2.0,-2.0,-2,-2.0,BC800COFFEETEA
1926767725,꼬지짱,닭요리,128.56288,35.941753,65,-1.0,꼬지짱
-2,-2,-2,-2.0,-2.0,-2,-2.0,소울36.6
-2,-2,-2,-2.0,-2.0,-2,-2.0,시간이흘러
-2,-2,-2,-2.0,-2.0,-2,-2.0,TUICAF고려대점 고려대점
19809710,홈플러스 잠실점,"슈퍼,마트",127.10301,37.51622,16704,4.4,마호가니커피 홈플러스잠실점
1035638491,투썸플레이스 CGV수유점,카페,127.02986,37.642303,225,4.33,투썸플레이스 CGV수유
-2,-2,-2,-2.0,-2.0,-2,-2.0,폴바셋상암MBC미디어센터점 상암MBC미디어센터점
36948677,커피빈 반포엘루체점,카페,126.987335,37.50166,622,4.43,커피빈 코리아반포엘루체점
1059957766,테라로사 국립현대미술관서울점,카페,126.98005,37.57878,2494,4.52,테라로사커피 광화문점
31197561,나무그늘집,"아귀찜,해물찜",126.92347,37.56058,128,4.04,나무그늘
-2,-2,-2,-2.0,-2.0,-2,-2.0,스타벅스 파미에파크점
567949466,본아미치,"카페,디저트",126.93347,37.38367,188,4.4,카페아미치 아미치
1257092839,투썸플레이스 영등포시장사거리점,카페,126.90308,37.520454,187,-1.0,투썸플레이스 영등포시장사거리점
946794373,보사노바 커피로스터스 문래점,"카페,디저트",126.89201,37.51995,761,4.45,보사노바커피로스터스 문래점
182607929,더치앤빈 문정테라타워2점,카페,127.1206,37.487892,191,4.36,더치앤빈 문정점
-2,-2,-2,-2.0,-2.0,-2,-2.0,자니로켓카페 영등포점
1356888022,케이아이디코리아,"도서,음반,문구",127.006935,37.549007,19,4.5,케이아이디코리아
1422538971,이가커피,카페,127.024376,37.522556,1,-1.0,이가커피
-2,-2,-2,-2.0,-2.0,-2,-2.0,FRUITSPOP외대점 외대점
37249864,빽다방 서초우성점,테이크아웃커피,127.02939,37.493004,593,4.28,빽다방서초우성점 서초우성점
-2,-2,-2,-2.0,-2.0,-2,-2.0,고센클래식
1747852020,마운틴뷰,주택,127.0149,37.655296,-1,-1.0,마운틴뷰
36257127,커피빈 하나은행경복궁역점,카페,126.97342,37.575554,791,4.32,커피빈 관훈점
1599580650,헬로방방 마포아현점,"키즈카페,실내놀이터",126.954254,37.55274,-2,-2.0,헬로방방 마포아현점
-2,-2,-2,-2.0,-2.0,-2,-2.0,빠뜨릭스와플아일렉스점 아일렉스점
1049237700,별별다방,카페,127.00042,37.570614,54,4.21,별별다방
1106143687,다몽헌,"차,커피",126.98664,37.579845,89,4.88,다몽헌
34807311,스타벅스 코엑스몰점,카페,127.05924,37.513714,6403,4.43,스타벅스 코엑스몰점
37281923,공차 2001아울렛 천호점,차,127.12629,37.541298,90,4.29,공차 NC천호점
1244436371,이나디토,카페,127.08459,37.53966,11,4.39,이나디토
-2,-2,-2,-2.0,-2.0,-2,-2.0,백미당 IFC몰점
1547365935,블랙벤자민,"카페,디저트",126.67333,37.414524,557,4.73,블랙벤자민
20825113,커피한잔,카페,126.96794,37.577095,307,4.48,커피한잔
1129381354,연희예술극장,복합문화공간,126.928535,37.565712,3,-1.0,연희예술극장
37768977,놀숲 건대점,만화방,127.068184,37.54055,544,4.51,놀숲 건대점
1348790215,애플베이킹스튜디오,"제과,제빵",129.3326,35.633556,8,-1.0,애플바리스타
1577840641,더올리브,양식,127.65144,34.743855,358,4.34,더올리브
1612441699,랭스터디카페 숭실대점,장소대여,126.953445,37.496883,64,4.6,랭스터디카페 숭실대점
1142342892,꽃피는책,서점,126.87383,37.54358,10,-1.0,꽃피는책
33141914,커피커뮤니티,"차,커피",127.07905,37.323704,-1,-1.0,커피커뮤니티
-2,-2,-2,-2.0,-2.0,-2,-2.0,테이크아웃드로잉카페
-2,-2,-2,-2.0,-2.0,-2,-2.0,푸른수목원가든카폐
-2,-2,-2,-2.0,-2.0,-2,-2.0,카페난난
-2,-2,-2,-2.0,-2.0,-2,-2.0,제르보
-2,-2,-2,-2.0,-2.0,-2,-2.0,알콩달콩커피집사진관
1929603417,놀숲플러스 홍대점,만화방,126.92118,37.55319,799,4.57,놀숲 플러스홍대점
1721708502,활짝핀,"카페,디저트",126.9031,37.49742,2,-1.0,활짝핀카페 활짝핀
1064865285,본죽&비빔밥cafe 마곡나루역점,죽,126.82662,37.569202,557,4.51,본죽 &비빔밥카페마곡나루역점
1789238263,이디야커피 도림사거리점,카페,126.901825,37.506588,511,4.38,이디야커피 도림사거리
31259380,아티제 동부이촌2점,카페,126.97034,37.520657,1266,4.51,아티제 동부이촌점
332349287,솔루나커피,카페,126.96856,37.492794,17,5.0,솔루나카페 솔루나
-2,-2,-2,-2.0,-2.0,-2,-2.0,더치앤빈 국회의사당점
-2,-2,-2,-2.0,-2.0,-2,-2.0,커피점본본
1775503838,커피밥,"카페,디저트",126.9977,37.567112,17,4.15,커피밥
20038086,CAFE2892,테이크아웃커피,126.93295,37.523106,89,4.48,cafe2892
36210613,스타벅스 문정로데오점,카페,127.126274,37.491837,3002,4.45,송파다방
1120903581,카페인,카페,126.919174,37.597267,13,5.0,카페LN
31719305,까페라리 방이점,카페,127.1263,37.512066,335,4.41,카페라리방이점 방이점
36939099,애니팡팡,"키즈카페,실내놀이터",126.854614,37.531384,100,4.29,애니팡팡
13414292,더연카페&Bar,바(BAR),126.98559,37.56993,51,4.26,더연
-2,-2,-2,-2.0,-2.0,-2,-2.0,바리스타마르코강서경찰서점
38522589,데이앤데이,베이커리,127.07753,37.613834,5,-1.0,데이앤데이 상봉점
-2,-2,-2,-2.0,-2.0,-2,-2.0,스타벅스구로에이스트윈타워1점 구로에이스트윈타워1점
1530544372,한스 케익 경희궁자이점,카페,126.961685,37.57121,676,4.35,한스 COFFEE
1357050085,달달해,카페,126.913,37.608387,77,4.4,달달해
-2,-2,-2,-2.0,-2.0,-2,-2.0,한국은행본점카페 한국은행본점
35408288,커피나무 성신여대점,카페,127.0197,37.591045,502,4.44,커피나무
38291037,토즈스터디센터 가좌2센터,독서실,126.91736,37.57051,22,3.92,토즈모임센터 홍대점
