상호명,지점명,상권업종소분류명,지번주소,도로명주소,경도,위도,상호지점명,id,name,category,visitorReviewCount,visitorReviewScore
카페폰스,,커피전문점/카페/다방,서울특별시 광진구 자양동 859,서울특별시 광진구 아차산로 345,127.081435607686,37.5375136967709,카페폰스,1037485379,카페폰스,"카페,디저트",1,평점없음
아티제,건국대병원점,커피전문점/카페/다방,서울특별시 광진구 화양동 4-12,서울특별시 광진구 능동로 120-1,127.07204319615,37.5412246823097,아티제 건국대병원점,1811525287,아티제 건국대병원점,카페,1186,4.26
휴온,,커피전문점/카페/다방,서울특별시 광진구 구의동 252-6,서울특별시 광진구 아차산로51길 27,127.084844351843,37.5382069419705,휴온,1042585241,휴온,"카페,디저트",143,4.79
투썸플레이스,가락시장역2호점,커피전문점/카페/다방,서울특별시 송파구 가락동 99-3,서울특별시 송파구 송파대로 260,127.118845448906,37.4931332886635,투썸플레이스 가락시장역2호점,1361773737,투썸플레이스 가락시장역2호점,카페,188,4.31
스미다,,커피전문점/카페/다방,서울특별시 광진구 중곡동 142-26,서울특별시 광진구 천호대로109길 18,127.081246277037,37.5575516072042,스미다,1555637709,스미다,아이스크림,118,4.74
카페제이,,커피전문점/카페/다방,서울특별시 강동구 고덕동 294-1,서울특별시 강동구 동남로82길 19,127.157983583904,37.5606647793614,카페제이,1696935660,카페제이,"카페,디저트",209,4.63
슈퍼말차,성수점,커피전문점/카페/다방,서울특별시 성동구 성수동1가 668-9,서울특별시 성동구 서울숲6길 19,127.043707252494,37.5475131946831,슈퍼말차 성수점,1643583812,슈퍼말차 성수,카페,1381,4.46
이디야커피,신림미성점,커피전문점/카페/다방,서울특별시 관악구 신림동 587-22,서울특별시 관악구 난우길 43-1,126.917047686828,37.4764803405482,이디야커피 신림미성점,110671228,이디야커피 신림미성점,카페,341,4.55
서른커피,,커피전문점/카페/다방,서울특별시 강남구 신사동 563-19,서울특별시 강남구 논현로151길 15,127.026953117047,37.5200564865112,서른커피,1724153144,서른커피,카페,75,4.39
그린머그,,커피전문점/카페/다방,서울특별시 구로구 구로동 27-3,서울특별시 구로구 새말로18길 24,126.89259289457,37.5055917252482,그린머그,1657517938,그린머그,"카페,디저트",286,평점없음
커피빈,연대동문회관점,커피전문점/카페/다방,서울특별시 서대문구 신촌동 134,서울특별시 서대문구 연세로 50,126.942916817516,37.5638006863037,커피빈 연대동문회관점,38781596,커피빈 연대동문회관점,카페,1260,4.5
매머드커피,교대후문점,커피전문점/카페/다방,서울특별시 서초구 서초동 1666-1,서울특별시 서초구 서초대로54길 33,127.016406018903,37.4927573161043,매머드커피 교대후문점,37891427,매머드커피 교대후문점,카페,627,4.55
아마스빈버블티,명지대점,커피전문점/카페/다방,서울특별시 서대문구 남가좌동 324-35,서울특별시 서대문구 거북골로 33,126.924049056536,37.5794524407773,아마스빈버블티 명지대점,1940234958,아마스빈 명지대점,카페,544,4.3
커피사피엔스,가산1호점,커피전문점/카페/다방,서울특별시 금천구 가산동 345-33,서울특별시 금천구 가산디지털2로 67,126.881072252174,37.4742078681432,커피사피엔스 가산1호점,1323305200,커피사피엔스 가산1호점,카페,837,4.91
이디야커피,우면동점,커피전문점/카페/다방,서울특별시 서초구 우면동 2-8,서울특별시 서초구 바우뫼로 20,127.02527377565,37.4699799971801,이디야커피 우면동점,1718263364,이디야커피 우면동점,카페,453,4.48
커피빈,코리아강남역GT타워옆점,커피전문점/카페/다방,서울특별시 서초구 서초동 1317-31,서울특별시 서초구 서초대로73길 12,127.025716956944,37.4985381518182,커피빈 코리아강남역GT타워옆점,36948659,커피빈 강남역GT타워옆점,카페,1471,4.5
